year,Country,Count
2011,Europe: EU countries: European Union EU14,39805
2011,Europe: EU countries: European Union EU8,65810
2011,Europe: EU countries: European Union EU2,24995
2011,Europe: EU countries: All other EU countries,1115
2011,Europe: Non-EU countries: All other non-EU countries,11015
2011,Middle East and Asia,88815
2011,Africa,31135
2011,The Americas and the Caribbean,14930
2011,Antarctica and Oceania (including Australasia) and Other,4085
2011,British Overseas,405
2012,Europe: EU countries: European Union EU14,50970
2012,Europe: EU countries: European Union EU8,72205
2012,Europe: EU countries: European Union EU2,25955
2012,Europe: EU countries: All other EU countries,1255
2012,Europe: Non-EU countries: All other non-EU countries,12485
2012,Middle East and Asia,71915
2012,Africa,31155
2012,The Americas and the Caribbean,16605
2012,Antarctica and Oceania (including Australasia) and Other,4285
2012,British Overseas,450
2013,Europe: EU countries: European Union EU14,62910
2013,Europe: EU countries: European Union EU8,74040
2013,Europe: EU countries: European Union EU2,31335
2013,Europe: EU countries: All other EU countries,1725
2013,Europe: Non-EU countries: All other non-EU countries,14245
2013,Middle East and Asia,70465
2013,Africa,31875
2013,The Americas and the Caribbean,18370
2013,Antarctica and Oceania (including Australasia) and Other,4705
2013,British Overseas,460
2014,Europe: EU countries: European Union EU14,71485
2014,Europe: EU countries: European Union EU8,68965
2014,Europe: EU countries: European Union EU2,66130
2014,Europe: EU countries: All other EU countries,2010
2014,Europe: Non-EU countries: All other non-EU countries,19445
2014,Middle East and Asia,83140
2014,Africa,37095
2014,The Americas and the Caribbean,22080
2014,Antarctica and Oceania (including Australasia) and Other,5720
2014,British Overseas,560
2015,Europe: EU countries: European Union EU14,82805
2015,Europe: EU countries: European Union EU8,70800
2015,Europe: EU countries: European Union EU2,89650
2015,Europe: EU countries: All other EU countries,2405
2015,Europe: Non-EU countries: All other non-EU countries,24855
2015,Middle East and Asia,98975
2015,Africa,42660
2015,The Americas and the Caribbean,26425
2015,Antarctica and Oceania (including Australasia) and Other,7355
2015,British Overseas,595
2016,Europe: EU countries: European Union EU14,80665
2016,Europe: EU countries: European Union EU8,54060
2016,Europe: EU countries: European Union EU2,80050
2016,Europe: EU countries: All other EU countries,2135
2016,Europe: Non-EU countries: All other non-EU countries,28375
2016,Middle East and Asia,106810
2016,Africa,42170
2016,The Americas and the Caribbean,29805
2016,Antarctica and Oceania (including Australasia) and Other,7050
2016,British Overseas,755
2017,Europe: EU countries: European Union EU14,71050
2017,Europe: EU countries: European Union EU8,38845
2017,Europe: EU countries: European Union EU2,64160
2017,Europe: EU countries: All other EU countries,2045
2017,Europe: Non-EU countries: All other non-EU countries,29530
2017,Middle East and Asia,110400
2017,Africa,42625
2017,The Americas and the Caribbean,32400
2017,Antarctica and Oceania (including Australasia) and Other,7380
2017,British Overseas,810
2018,Europe: EU countries: European Union EU14,78925
2018,Europe: EU countries: European Union EU8,36710
2018,Europe: EU countries: European Union EU2,62950
2018,Europe: EU countries: All other EU countries,2575
2018,Europe: Non-EU countries: All other non-EU countries,35460
2018,Middle East and Asia,144755
2018,Africa,53390
2018,The Americas and the Caribbean,42775
2018,Antarctica and Oceania (including Australasia) and Other,8690
2018,British Overseas,960
2019,Europe: EU countries: European Union EU14,79430
2019,Europe: EU countries: European Union EU8,32750
2019,Europe: EU countries: European Union EU2,55460
2019,Europe: EU countries: All other EU countries,2940
2019,Europe: Non-EU countries: All other non-EU countries,39090
2019,Middle East and Asia,216565
2019,Africa,71760
2019,The Americas and the Caribbean,57090
2019,Antarctica and Oceania (including Australasia) and Other,12325
2019,British Overseas,985
2020,Europe: EU countries: European Union EU14,86075
2020,Europe: EU countries: European Union EU8,32340
2020,Europe: EU countries: European Union EU2,55615
2020,Europe: EU countries: All other EU countries,3865
2020,Europe: Non-EU countries: All other non-EU countries,37490
2020,Middle East and Asia,230650
2020,Africa,64580
2020,The Americas and the Caribbean,53885
2020,Antarctica and Oceania (including Australasia) and Other,7665
2020,British Overseas,870
2021,Europe: EU countries: European Union EU14,9200
2021,Europe: EU countries: European Union EU8,3180
2021,Europe: EU countries: European Union EU2,8615
2021,Europe: EU countries: All other EU countries,665
2021,Europe: Non-EU countries: All other non-EU countries,6265
2021,Middle East and Asia,54550
2021,Africa,15640
2021,The Americas and the Caribbean,7330
2021,Antarctica and Oceania (including Australasia) and Other,975
2021,British Overseas,135
